## Meeting Notices and Invitations

**Date** | **Title**
------- | --------
25/08/2024 | [Link of MSX Discussion session – H1](https://www.msx.om/snapshot.aspx?s=BKDB&se=4&ni=79205)
19/08/2024 | [MSX Discussion session – H1](https://www.msx.om/snapshot.aspx?s=BKDB&se=4&ni=79126)
15/07/2024 | [Initial Unaudited Preliminary Financials for the Period ended on 30 Jun 2024](https://www.msx.om/snapshot.aspx?s=BKDB&se=4&ni=78504)
01/07/2024 | [Appointment of Chief Internal Auditor](https://www.msx.om/snapshot.aspx?s=BKDB&se=4&ni=78302)
15/04/2024 | [Initial Unaudited Preliminary Financials for the Period ended on 31 Mar 2024](https://www.msx.om/details.aspx?b1=News&t=News&i=77287)
27/03/2024 | [Announcement of the Annual General Meeting resolutions](https://www.msx.om/details.aspx?b1=News&t=News&i=76975)
21/03/2024 | [Link of MSX Discussion session – Annual](https://www.msx.om/details.aspx?b1=News&t=News&i=76795)
17/03/2024 | [MSX Discussion session – Annual](https://www.msx.om/details.aspx?b1=News&t=News&i=76689)
11/03/2024 | [Notice For Annual General Meeting](https://www.msx.om/details.aspx?b1=News&t=News&i=76539)
28/01/2024 | [Proposal for Cash Dividends](https://www.msx.om/details.aspx?b1=News&t=News&i=75841)
15/01/2024 | [Initial Unaudited Preliminary Financials for the Year ended on 31 Dec 2023](https://www.msx.om/details.aspx?b1=News&t=News&i=75653)
04/01/2024 | [Resignation of the DGM & Chief Internal Auditor](https://www.msx.om/details.aspx?b1=News&t=News&i=75516) 
